Year,Film_Noir,Action,Adventure,Horror,Romance,War,Western,Documentary,Sci-Fi,Drama,Thriller,no_genres_listed,Crime,Fantasy,Animation,IMAX,Comedy,Mystery,Children,Musical,Total
1902,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
1903,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3
1915,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1916,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,7
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1919,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
1920,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4
1921,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
1922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1923,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,7
1924,0,2,2,0,2,0,0,0,1,2,1,0,0,3,0,0,2,0,0,0,15
1925,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,9
1926,0,0,1,1,1,1,0,0,0,3,0,0,0,1,0,0,2,0,0,0,10
1927,0,0,0,1,2,0,0,0,1,5,1,0,1,0,0,0,1,1,0,1,14
1928,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,8
1929,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,5
1930,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,9
1931,1,1,0,3,3,0,1,0,1,9,1,0,3,0,0,0,4,1,0,1,29
1932,1,0,0,2,4,1,0,0,0,4,0,0,3,0,0,0,3,0,0,0,18
1933,0,1,2,3,4,1,0,0,1,4,1,0,1,2,0,0,5,1,1,4,31
1934,0,0,0,0,3,1,0,2,0,4,1,0,1,1,0,0,6,0,1,2,22
1935,0,1,2,1,6,0,0,0,1,6,1,0,0,1,0,0,7,1,0,4,31
1936,1,0,2,0,10,0,1,0,0,7,3,0,2,0,0,0,7,1,0,4,38
1937,1,1,2,0,4,1,0,0,0,12,1,0,2,1,1,0,3,0,2,3,34
1938,1,2,1,0,4,1,0,0,0,9,2,0,1,2,2,0,8,1,2,1,37
1939,0,1,4,0,9,2,2,0,0,15,1,0,2,1,2,0,9,1,4,2,55
1940,2,2,3,1,9,1,2,0,2,14,3,0,0,3,2,0,11,2,2,3,62
1941,3,0,1,2,6,1,0,0,0,9,2,0,2,2,1,0,8,4,1,2,44
1942,2,1,0,1,10,3,0,0,0,13,5,0,3,0,1,0,9,2,1,2,53
1943,0,0,1,2,1,1,1,0,0,8,2,0,2,1,0,0,0,0,0,0,19
1944,2,1,2,0,5,4,0,0,0,11,3,0,2,0,0,0,4,2,1,2,39
1945,2,0,0,4,2,3,0,0,0,7,3,0,3,1,1,0,2,6,1,2,37
1946,8,0,1,0,5,2,2,0,0,14,5,0,5,2,1,0,1,4,3,4,57
1947,6,0,0,0,6,0,0,0,0,12,2,0,6,1,0,0,9,2,0,1,45
1948,3,3,4,1,3,1,2,0,0,15,4,0,4,1,0,0,3,1,1,2,48
1949,4,1,1,1,7,2,2,1,0,15,3,0,2,0,2,0,8,2,2,3,56
